ID|grapheme|phoneme
003bd57d-44bd-42cd-aa31-f3fe679407e2|খোঁচাখুঁচির এক পর্যায়ে সে বাসায় বিয়ের কোথা জানিয়ে দেয়।|kʰ_1 õ c a kʰ ũ c i r_2 æ_1 k_2 p_1 o r ɟ a ʲ e_2 ʃ_1 e_2 b_1 a ʃ a ʲ_2 b_1 i ʲ e r_2 k_1 o t̪ʰ a_2 ɟ_1 a n i ʲ e_2 d̪_1 e ʲ_2
00422d7a-851c-4684-a228-af792034b403|আদিমকালে আরেকপ্রান্তে এনফোর্সমেন্টে|a_1 d̪ i m k a l e_2 a_1 r e k p r a n t̪ e_2 e_1 n pʰ o r s m e n t e_2
0052386a-4e2f-41d3-b05c-ac5bb83182c8|একফ্রেমে বন্ধী দুই বান্ধবী।|æ_1 k pʰ r e m e_2 b_1 o n d̪ʰ i_2 d̪_1 u i̯_2 b_1 a n d̪ʰ o b i_2
005515eb-fe9b-476f-8def-ecb81720df9a|নিম্নরেখাঙ্কিত শব্দ গুলোর মানে বের করো।|n_1 i m n o r e kʰ a ŋ k i t̪ o_2 ʃ_1 ɔ b d̪ o_2 g_1 u l o r_2 m_1 a n e_2 b_1 e r_2 k_1 ɔ r o_2
005dc276-0750-49ba-b9eb-566e1f544112|ক্যহ্লাঅং একটি অদ্ভুত শব্দ।|k_1 æ h l a ɔ ŋ_2 e_1 k t i_2 ɔ_1 d̪ bʰ u t̪_2 ʃ_1 ɔ b d̪ o_2
00620647-2e3d-458e-8d62-7c30b6c7b4e1|ডাগবোইয়্যা|d_1 a g b o i̯ ʲ æ_2
0080e539-34d8-4efa-9a3f-be4f4cd2766b|অজলাহ|ɔ_1 ɟ l a h_2
008d6f28-af32-4962-8554-56c19857e557|খিড্ডা অর্থ কী?|kʰ_1 i d d a_2 ɔ_1 r t̪ t̪ʰ o_2 k_1 i_2
0093ddac-ef70-47ec-8f0a-4f46a0c66f15|ক্যেক্‌|k_1 æ k_2
00945da1-d1d6-45f8-8061-32f29dca8814|কাহ্‌|k_1 a h_2
00985f34-4c36-4aa3-b3d2-76f9e89b7ce3|গধা|g_1 ɔ d̪ʰ a_2
00b5f378-3032-4f51-a07b-087ac905659d|কী অবিশ্বাস্য ইনিংসটাই না খেললেন!|k_1 i_2 ɔ_1 b i ʃ ʃ a ʃ ʃ o_2 i_1 n i ŋ s t a i̯_2 n_1 a_2 kʰ_1 e l l e n_2
00bfcf87-176e-4657-8917-ab03d5531572|অলেদা একজন মডেল|ɔ_1 l e d̪ a_2 æ_1 k ɟ o n_2 m_1 ɔ d e l_2
00d02a39-ed5d-4828-9904-cd54fa7854d1|আতগেয়্যা|a_1 t̪ g e c ʲ a_2
00d2aa45-d61a-461d-b1f4-6f373b1e0cdb|আহসান আরবি শব্দ|a_1 h s a n_2 a_1 r b i_2 ʃ_1 ɔ b d̪ o_2
00d7c3e7-0415-4f08-93cb-94d69a28f0ef|সুখের স্বাদ একা পেতে হয় না সবাইকে নিয়ে একসাথে পেতে হয়।|ʃ_1 u kʰ e r_2 ʃ_1 a d̪_2 æ_1 k a_2 p_1 e t̪ e_2 h_1 ɔ ʲ_2 n_1 a_2 ʃ_1 ɔ b a i̯ k e_2 n_1 i ʲ e_2 æ_1 k ʃ a t̪ʰ e_2 p_1 e t̪ e_2 h_1 ɔ ʲ_2
00d7f6d0-c8d1-4bcd-b3d3-676803830107|দিগ্থিদি|d̪_1 i g t̪ʰ i d̪ i_2
00d8a169-3f2d-4e5e-8bdd-bc35a342b5d3|তচ্‌ভরন|t̪_1 ɔ c bʰ o r o n_2
00dbc472-7b15-421a-8b58-15e9c572be39|তাশখন্দ কোন দেশের রাজধানী?|t̪_1 a ʃ kʰ ɔ n d̪_2 k_1 o n_2 d̪_1 e ʃ e r_2 r_1 a ɟ d̪ʰ a n i_2
00f632b3-aa14-4322-b3de-f3872a584d08|ঘটনাটার ফ্ল্যাশব্যাকে যাও।|gʰ_1 ɔ t o n a t a r_2 pʰ_1 l æ ʃ b æ k e_2 ɟ_1 a o̯_2
00f6dbf0-3180-4a82-8b16-f520791430a3|বাংলাদেশ সরকার কোটচাঁদপুর এলাকা থেকেই লোকবল নিয়োগ দিচ্ছে।|b_1 a ŋ l a d̪ e ʃ_2 ʃ_1 ɔ r k a r_2 k_1 o t c ã d̪ p u r_2 e_1 l a k a_2 t̪ʰ_1 e k e i_2 l_1 o k o b ɔ l_2 n_1 i ʲ o g_2 d̪_1 i c cʰ e_2
00fbbebf-9674-46d0-b88b-581f024c1afa|সমীপেষু পত্রের শুরুতে লিখতে হয়।|ʃ_1 o m i p e ʃ u_2 p_1 ɔ t̪ t̪ r e r_2 ʃ_1 u r u t̪ e_2 l_1 i kʰ t̪ e_2 h_1 ɔ ʲ_2
0100324d-91a4-4072-ac5d-90fcfce69bb4|ডেচপাচ ইংরেজী শব্দ।|d_1 e c p a c_2 i_1 ŋ r e ɟ i_2 ʃ_1 ɔ b d̪ o_2
011378af-6d84-40dc-9d03-e0cc3fea9cc8|জোটনেত্রী অদলবদল ক্যাশব্যাক|ɟ_1 o t n e t̪ t̪ r i_2 ɔ_1 d̪ o l b ɔ d̪ o l_2 k_1 æ ʃ b æ k_2
0115b944-7335-4766-9815-e1f37920ce9e|আইউব,আজমল,রইস, হাশমি, কাইউম এবং চিফ ডেপুটি জাজ রুমেল কাজটা সম্পন্ন করেন।|a_1 i̯ u̯ b_2 a_1 ɟ m ɔ l_2 r_1 o i̯ s_2 h_1 a ʃ m i_2 k_1 a i̯ u m_2 e_1 b o ŋ_2 c_1 i pʰ_2 d_1 e p u t i_2 ɟ_1 a ɟ_2 r_1 u m e l_2 k_1 a ɟ t a_2 ʃ_1 ɔ m p ɔ n n o_2 k_1 ɔ r e n_2
0121c66e-6b24-4958-ae16-6ee5fb27bb11|অর্শরুগ|ɔ_1 r ʃ o r u g_2
0125579e-4ca6-4cba-b7cf-5bf343df4aa7|মোআলী কড়চা পাটধা|m_1 o a l i_2 k_1 ɔ ɽ c a_2 p_1 a t d̪ʰ a_2
0126ce33-cec4-449b-809c-8b76c3531b0a|অজ্মনে|ɔ_1 ɟ m o n e_2
0132b129-df41-4c8d-af73-d669f01c14c8|দেবাপধদেবাপধে বলে কিছু নেই।|d̪_1 e b a p ɔ d̪ʰ d̪ e b a p ɔ d̪ʰ e_2 b_1 o l e_2 k_1 i cʰ u_2 n_1 e i̯_2
013f02a2-977a-402f-bab0-7fcd732ac241|বেশি কথা না বলে বাড়িত্‌ যা।|b_1 e ʃ i_2 k_1 ɔ t̪ʰ a_2 n_1 a_2 b_1 o l e_2 b_1 a ɽ i t̪_2 ɟ_1 a_2
014516ca-1415-43e3-8d08-60841da895b3|প্রেমিকা আছে, আমি আছি কিন্তু আগের মতো আন্তরিকতা আর পাই না।|p_1 r e m i k a_2 a_1 cʰ e_2 a_1 m i_2 a_1 cʰ i_2 k_1 i n t̪ u_2 a_1 g e r_2 m_1 ɔ t̪ o_2 a_1 n t̪ o r i k ɔ t̪ a_2 a_1 r_2 p_1 a i̯_2 n_1 a_2
0149f1b1-b75c-4235-84f6-f2c4d77a18db|শিফন এবার মেট্রিক দিবে।|ʃ_1 i pʰ ɔ n_2 e_1 b a r_2 m_1 e t t r i k_2 d̪_1 i b e_2
015f127a-9d7a-41ed-9af4-7b9c5748fdb3|উনআশি সালে|u_1 n o a ʃ i_2 ʃ_1 a l e_2
01602745-8ac4-45fd-b3f2-bce3ef384241|বাকি সবাই ভাড়াটিয়া।|b_1 a k i_2 ʃ_1 ɔ b a i̯_2 bʰ_1 a ɽ a t i ʲ a_2
0162a2e1-f923-4da4-b7d9-e813df732ae0|গৌছকে প্রমিত বাংলায় কাছা বলে|g_1 o u̯ cʰ o k e_2 p_1 r o m i t̪ o_2 b_1 a ŋ l a ʲ_2 k_1 a cʰ a_2 b_1 o l e_2
01693e9f-3fb2-4c59-9374-b118a485ab4f|খেসারত খাইও আবেদনপত্র|kʰ_1 e ʃ a r ɔ t̪_2 kʰ_1 a i̯ o_2 a_1 b e d̪ o n p ɔ t̪ t̪ r o_2
016e5eff-e75b-4c84-ac9c-33e8f9672044|কাঁদতে কাঁদতে কোথা বললো সে|k_1 ã d̪ t̪ e_2 k_1 ã d̪ t̪ e_2 k_1 o t̪ʰ a_2 b_1 o l l o_2 ʃ_1 e_2
018213dc-21f2-46ae-9151-e3589ba2f9ce|পাঁকই আসল কারন|p_1 ã k i_2 a_1 ʃ o l_2 k_1 a r o n_2
01841eef-bed8-495e-94e3-153383466641|ঢ্যারা হলো দড়ি পাকাবার যন্ত্র বিশেষ।|dʰ_1 æ r a_2 h_1 o l o_2 d̪_1 o ɽ i_2 p_1 a k a b a r_2 ɟ_1 ɔ n t̪ r o_2 b_1 i ʃ e ʃ_2
018ccd2c-b508-43db-b8ac-e1d7cb6ff430|কংগ্রেস ন্যাশনাল টাস্কফোর্স পুনর্গঠিত করার সিদ্ধান্ত।|k_1 ɔ ŋ g r e s_2 n_1 æ ʃ n a l_2 t_1 a s k pʰ o r s_2 p_1 u n o r g o tʰ i t̪ o_2 k_1 ɔ r a r_2 s_1 i d̪ d̪ʰ a n t̪ o_2
01937e89-8c9e-4c45-ad52-42784c11987b|সায়মা ওয়াজেদ পুতুল|s_1 a ʲ m a_2 o_1 ʷ a ɟ e d̪_2 p_1 u t̪ u l_2
0195d5af-ba22-49f7-89db-160cf34e7d6a|বৌনা আইভরি কোস্টের একটি জায়গার নাম।|b_1 o u̯ n a_2 a_1 i̯ bʰ o r i_2 k_1 o s t e r_2 e_1 k t i_2 ɟ_1 a ʲ g a r_2 n_1 a m_2
0196e246-03ba-4045-9c10-ccbc044c5270|মঠখলা বাঁশছড়ি গ্রামের নাম|m_1 ɔ tʰ kʰ ɔ l a_2 b_1 ã ʃ cʰ o ɽ i_2 g_1 r a m e r_2 n_1 a m_2
0199cb7c-2344-415f-9c2b-d87ec15b00f7|শেভ করে কাল অফিসে আসবি।|ʃ_1 e bʰ_2 k_1 o r e_2 k_1 a l_2 ɔ_1 pʰ i s e_2 a_1 ʃ b i_2
019d8191-8d0d-40dc-986a-d91b865c09db|ওম্মে মোবাশেরা নামাজী মহিলা।|o_1 m m e_2 m_1 o b a ʃ e r a_2 n_1 a m a ɟ i_2 m_1 o h i l a_2
019e90ad-f372-450b-a88f-3eba1b5140d3|উনি কী নিয়ে বাঁচবেন?|u_1 n i_2 k_1 i_2 n_1 i ʲ e_2 b_1 ã c b e n_2
019fdc53-45c2-4809-bb7a-376be8dba835|কায়ক্লেশে অর্থ কষ্টের সঙ্গে।|k_1 a ʲ k l e ʃ e_2 ɔ_1 r t̪ t̪ʰ o_2 k_1 ɔ ʃ t e r_2 ʃ_1 ɔ ŋ g e_2
01a88990-0aa9-4831-94a1-6e365f3e7219|স্বয়ং ডিন স্যারের ক্লাস।|ʃ_1 ɔ ʲ o ŋ_2 d_1 i n_2 s_1 a r e r_2 k_1 l a s_2
01b43426-4b86-465f-8c68-7c86d3dd9d2b|ইউক্যালিপটাস ফুল দিয়ে তাঁকে প্রোপোজ করবো।|i_1 u̯ k æ l i p t a s_2 pʰ_1 u l_2 d̪_1 i ʲ e_2 t̪_1 ã k e_2 p_1 r o p o ɟ_2 k_1 o r b o_2
01b59844-a39c-4253-80f0-9562b9531c4f|টেউটি কবরস্থান|t_1 e u̯ t i_2 k_1 ɔ b o r s t̪ʰ a n_2
01b5e5c3-082b-46f7-a99c-98cac273bb44|তারেক কলেজ সংসদের ভিপি|t̪_1 a r e k_2 k_1 ɔ l e ɟ_2 ʃ_1 ɔ ŋ ʃ o d̪ e r_2 bʰ_1 i p i_2
01b92b1a-740a-4204-be77-412db7c382d5|এহ্‌বা|e_1 o̯ bʰ a_2
01ba1b2a-167c-441f-9eef-8aa8f32962b5|এরমধ্যেও সে ভালো রেসাল্ট করা অব্যাহত রেখেছে।|e_1 r m o d d̪ʰ e o̯_2 ʃ_1 e_2 bʰ_1 a l o_2 r_1 e s a l t_2 k_1 ɔ r a_2 ɔ_1 b b æ h ɔ t̪ o_2 r_1 e kʰ e cʰ e_2
01be5b22-df87-4d10-8d44-b9341fb59794|বিউগলে করুন সুর বেজে উঠলো|b_1 i u̯ g o l e_2 k_1 o r u n_2 ʃ_1 u r_2 b_1 e ɟ e_2 u_1 tʰ l o_2
01bf0b4e-f1a3-4851-a3b2-a434abf708bc|শব্দের ধ্বনিলিপিও নির্ধারিত হয়েছে।|ʃ_1 ɔ b d̪ e r_2 d̪ʰ_1 o n i l i p i o_2 n_1 i r d̪ʰ a r i t̪ o_2 h_1 e ʲ e cʰ e_2
01c0714f-64a5-4323-a5c4-a52025a1637d|ইস্পাহানি কোম্পানীর মালিক ইনজুরিতে ভুগছে।|i_1 s p a h a n i_2 k_1 o m p a n i r_2 m_1 a l i k_2 i_1 n ɟ u r i t̪ e_2 bʰ_1 u g cʰ e_2
01c7e0a1-749c-49fe-b6a0-7b66230b67d8|থেইয়্যা|t̪ʰ_1 e i̯ a_2
01ccbcd1-3d7b-4d32-8b5c-6e72343d3115|থিধি|t̪ʰ_1 i d̪ʰ i_2
01cfd6d9-f100-427f-8873-718b7ef22e73|দ্রঢ়িমা  রেখা।|d̪_1 r o ɽʰ i m a_2 r_1 e kʰ a_2
01d8878f-3ef3-42e3-a064-1d79c644aad4|এসিডদগ্ধদের ক্ষতিপূরণ দেয়া হয়।|æ_1 s i d d̪ ɔ g d̪ʰ o d̪ e r_2 kʰ_1 o t̪ i p u r o n_2 d̪_1 e ʲ a_2 h_1 ɔ ʲ_2
01db6d5d-4054-4469-ba93-5f418029cd59|আপনি আমার ওষ্তাদ|a_1 p n i_2 a_1 m a r_2 o_1 ʃ t̪ a d̪_2
01de8139-0a43-4e18-b42b-c2d2c8840848|বেওম অর্থ কি?|b_1 e o̯ m_2 ɔ_1 r t̪ t̪ʰ o_2 k_1 i_2
01e96732-0f78-4770-a4c5-9808e209b4bc|বাপ রে বাপ !|b_1 a p_2 r_1 e_2 b_1 a p_2
01f15249-099a-4d53-9036-eb7363a04a60|বাংলাদেশের ম্যাফ আঁকো|b_1 a ŋ l a d̪ e ʃ e r_2 m_1 æ pʰ_2 ã_1 k o_2
01f1806c-3285-4b0a-88da-ec04907c85fb|ঢাপড় সরকারী প্রাথমিক বিদ্যালয়।|dʰ_1 a p o ɽ_2 ʃ_1 ɔ r k a r i_2 p_1 r a t̪ʰ ɔ m i k_2 b_1 i d̪ d̪ a l ɔ ʲ_2
01f76ca5-4a6c-46e6-8205-9f4d6f7bf3ca|দেইলতুজি|d̪_1 e i̯ l t̪ u ɟ i_2
02019651-f234-4bc2-a037-d0dacea703b1|কল্পনাও করি নি আমি এতো কাজ করতে পারবো।|k_1 ɔ l p o n a o_2 k_1 o r i_2 n_1 i_2 a_1 m i_2 æ_1 t̪ o_2 k_1 a ɟ_2 k_1 o r t̪ e_2 p_1 a r b o_2
02070fd2-9801-4d46-a4b0-fd466290d9e9|সাফাত কাজের বেলায় লবডঙ্কা নয়।|s_1 a pʰ a t̪_2 k_1 a ɟ e r_2 b_1 æ l a ʲ_2 l_1 ɔ b d ɔ ŋ k a_2 n_1 ɔ ʲ_2
020936b7-6b23-437d-9666-53f4e3406f26|ধেলধেল্যা খেলার মাঠ।|d̪ʰ_1 e l d̪ʰ e l l a_2 kʰ_1 æ l a r_2 m_1 a tʰ_2
02148e93-d469-4cfe-8d66-8db309916e47|কুণ্ডেরার ভেতর এক বিরাট সাপ।|k_1 u n d e r a r_2 bʰ_1 e t̪ o r_2 æ_1 k_2 b_1 i r a t_2 ʃ_1 a p_2
021ad5e6-e78b-4294-bffa-1de46f0434a4|শ্বেতপদ্ম পদ্মফুল পদ্মরাগ ছদ্মবেশ|ʃ_1 e t̪ p ɔ d̪ d̪ õ_2 p_1 o d̪ d̪ õ pʰ u l_2 p_1 ɔ d̪ d̪ õ r a g_2 cʰ_1 ɔ d̪ d̪ õ b e ʃ_2
0223f026-83b3-482e-9d72-59b930e698bb|ঝর ঝর করে পাতাগুলো ঝরে গেলো।|ɟʰ_1 ɔ r_2 ɟʰ_1 ɔ r_2 k_1 o r e_2 p_1 a t̪ a g u l o_2 ɟʰ_1 ɔ r e_2 g_1 æ l o_2
0251e637-5b3c-4baa-a23e-f5fba6febe07|অঝক্|ɔ_1 ɟʰ ɔ k_2
02527500-6825-428e-8125-46720d3f85d6|জ্ঞাতা মানে যিনি জ্ঞান দান করেন।|g_1 æ̃ t̪ a_2 m_1 a n e_2 ɟ_1 i n i_2 g_1 æ̃ n_2 d̪_1 a n_2 k_1 ɔ r e n_2
025ecd79-0f24-4658-9ab4-eea9a1da7fb6|এ ব্যাপারে একটা বিহিত করতে হবে।|e b_1 æ p a r e_2 æ_1 k t a_2 b_1 i h i t̪_2 k_1 o r t̪ e_2 h_1 ɔ b e_2
02604b51-1b51-480c-b80d-5007ba71062d|গাড়িটি সিগনালে রয়েছে।|g_1 a ɽ i t i_2 s_1 i g n a l e_2 r_1 o ʲ e cʰ e_2
02650dd3-2200-4b7f-b0ef-0084b2290345|বসুধা ফারখুন্দার বাসিন্দা|b_1 o ʃ u d̪ʰ a_2 pʰ_1 a r kʰ u n d̪ a r_2 b_1 a ʃ i n d̪ a_2
02655095-b522-4526-bd52-0e26e1b3d95c|স্বপ্ন একচিলতে হাসির জন্যে।|ʃ_1 ɔ p n o_2 æ_1 k c i l t̪ e_2 h_1 a ʃ i r_2 ɟ_1 o n n e_2
026698fe-e553-4820-88df-466efc9a0b4f|নিয়ন্ত্রিত প্রেম মধুর হয়।|n_1 i o n t̪ r i t̪ o_2 p_1 r e m_2 m_1 o d̪ʰ u r_2 h_1 ɔ ʲ_2
02672e05-2ae2-41fd-8d14-b4a887c48b79|এটুআইর উপহাইকমিশনার নিহত।|e_1 t u a i̯ r_2 u_1 p o h a i̯ k o m i ʃ o n a r_2 n_1 i h ɔ t̪ o_2
0268e27b-92de-4815-9bc9-e771795204ed|তুপ্তর|t̪_1 u p t̪ o r_2
0269aa96-d727-42df-b7ce-96e44f0d8fd6|কাজচ্যা|k_1 a ɟ c c a_2
0284a6ae-b485-4901-95a7-8479ac75fd91|ধগী|d̪ʰ_1 o g i_2
028ce11e-c6a9-4f45-9439-e616dcb68f0f|অনভিপ্রেত  অলংকরণ আনুশেহ্|ɔ_1 n o bʰ i p r e t̪_2 ɔ_1 l ɔ ŋ k ɔ r o n_2 a_1 n u ʃ e h_2
0292066e-9e29-471a-bbc2-ca5e243c3726|মিউ মিউ ডাকা বাদ দাও।|m_1 i u̯_2 m_1 i u̯_2 d_1 a k a_2 b_1 a d̪_2 d̪_1 a o̯_2
02959959-564d-406f-bb27-a4e0398daef9|রেল স্টেশনের কোলাহল খুবই ক্ষণস্থায়ী।|r_1 e l_2 s_1 t e ʃ ɔ n e r_2 k_1 o l a h ɔ l_2 kʰ_1 u b i_2 kʰ_1 ɔ n o s t̪ʰ a ʲ i_2
02a0429d-8efc-4d60-8063-3ca7837d9d55|অধিলভ্যাংশ ব্যবসায়িক শব্দ|o_1 d̪ʰ i l o bʰ æ ŋ ʃ o_2 b_1 æ b ʃ a ʲ i k_2 ʃ_1 ɔ b d̪ o_2
02a3fd5b-3fa0-4a60-b848-0235203b48b8|তাঁরাও তৈজসপত্র কিনবে|t̪_1 ã r a o̯_2 t̪_1 o i̯ ɟ ɔ ʃ p ɔ t̪ t̪ r o_2 k_1 i n b e_2
02a58ca7-80f9-449c-96b6-734590595f8c|অভ্যুপগত এর সমার্থক শব্দ কি?|o_1 b bʰ u p g ɔ t̪ o_2 e_1 r_2 ʃ_1 ɔ m a r t̪ʰ o k_2 ʃ_1 ɔ b d̪ o_2 k_1 i_2
02b2c1ba-ebb8-40c3-91ff-22bae263c730|পূইয়াউঠা বরিশালের একটি প্রাথমিক বিদ্যালয়।|p_1 u i̯ ʲ a u̯ tʰ a_2 b_1 o r i ʃ a l e r_2 e_1 k t i_2 p_1 r a t̪ʰ ɔ m i k_2 b_1 i d̪ d̪ a l ɔ ʲ_2
02b43eb2-cde5-4dc1-97d4-8025df203591|তিস্তাচুক্তি বাতিল করো।|t̪_1 i s t̪ a c u k t̪ i_2 b_1 a t̪ i l_2 k_1 ɔ r o_2
02b5c412-7899-46b1-bcdc-17628265a49d|কিভাবে পোয়াডা এর উন্নতি করা যায়।|k_1 i bʰ a b e_2 p_1 o ʷ a d a_2 e_1 r_2 u_1 n n o t̪ i_2 k_1 ɔ r a_2 ɟ_1 a ʲ_2
02b654b1-a249-41f9-9d75-f3b83106019f|মিব|m_1 i b_2
02b6d8d7-f2a7-461f-8f8e-216018256a4e|ফ্ল্যাশ লাইট জ্বালিয়ে রেখো না।|pʰ_1 l æ ʃ_2 l_1 a i̯ t_2 ɟ_1 a l i ʲ e_2 r_1 e kʰ o_2 n_1 a_2
02ba24ac-5609-40e9-9173-c31b5d34b326|পঞ্চম ওয়ানডে উইম্বলডনেও শিরোপা জিতলেন জকোভিচ।|p_1 ɔ n c o m_2 o_1 ʷ a n d e_2 u_1 i̯ m b ɔ l d ɔ n e o̯_2 ʃ_1 i r o p a_2 ɟ_1 i t̪ l e n_2 ɟ_1 ɔ k o bʰ i c_2
02c9b958-bd21-4e2c-bb36-e67616efafc6|জীবছাড়া|ɟ_1 i b cʰ a ɽ a_2
02c9e812-897f-4df2-8be2-f4ae51f31d94|ব্ল্যাকক্যাপসদের জয়ে টাইগারদের বিদায়।|b_1 l æ k k æ p s d̪ e r_2 ɟ_1 ɔ ʲ e_2 t_1 a i̯ g a r d̪ e r_2 b_1 i d̪ a ʲ_2
02cbe074-9dc3-4463-bbb6-2b1b741ed8e6|এমন আত্মদান আজ বিরল।|æ_1 m o n_2 a_1 t̪ t̪ õ d̪ a n_2 a_1 ɟ_2 b_1 i r ɔ l_2
02cc9331-b58f-494b-8909-561eb9e12b56|নদাপ্যানা|n_1 ɔ d̪ a p a æ n a_2
02ce7dd5-7c10-41e9-9a8b-2c43788af192|কাব্যপ্রয়াসকে জঙ্গিবাদমুক্ত করো।|k_1 a b b o p r o ʲ a ʃ k e_2 ɟ_1 o ŋ g i b a d̪ m u k t̪ o_2 k_1 ɔ r o_2
02d5a947-c330-42e1-ab6f-dd8e63521aca|রাসুল সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম নামাজের জন্য তাগিদ দিয়েছেন।|r_1 a s u l_2 s_1 a l l a l l a h u_2 a_1 l a i̯ h i_2 o_1 ʷ a_2 s_1 a l l a m_2 n_1 a m a ɟ e r_2 ɟ_1 o n n o_2 t̪_1 a g i d̪_2 d̪_1 i ʲ e cʰ e n_2
02d95595-0204-40ee-a28c-00f3846a79b3|ম্যাচ জয়ের পরিমান উল্লেখযোগ্যহারে কমেছে।|m_1 æ c_2 ɟ_1 ɔ ʲ e r_2 p_1 o r i m a n_2 u_1 l l e kʰ ɟ o g g o h a r e_2 k_1 o m e cʰ e_2
02de864c-797f-4eb6-aebd-e432fc4fee0a|এই বাড়ির মর্যাদা, বাড়ির লোকেদের সম্মান ধরে রাখার দায়িত্ব তোমারও।|e_1 i̯_2 b_1 a ɽ i r_2 m_1 ɔ r ɟ ɟ a d̪ a_2 b_1 a ɽ i r_2 l_1 o k e d̪ e r_2 ʃ_1 ɔ m m a n_2 d̪ʰ_1 ɔ r e_2 r_1 a kʰ a r_2 d̪_1 a ʲ i t̪ t̪ o_2 t̪_1 o m a r o_2
02e3b7e8-73b4-449d-a32d-0f0cc52428f7|সুমার অট্টহাসির ভিডিও ধারন করো।|ʃ_1 u m a r_2 ɔ_1 t t o h a ʃ i r_2 bʰ_1 i d i ʲ o_2 d̪ʰ_1 a r o n_2 k_1 ɔ r o_2
02e7a80a-f9e5-4687-beb4-78209cad4865|অমন্ঢাল|ɔ_1 m o n dʰ a l_2
02e95889-4038-41f1-8766-9cbfcca0296c|আত্মহত্যাপ্রবণকারীদের কাউন্সেলিং।|a_1 t̪ t̪ õ h o t̪ t̪ a p r o b o n k a r i d̪ e r_2 k_1 a u̯ n s e l i ŋ_2
02ecea41-7336-4f5f-8a25-a64aca0c0c2e|ক্যায়াং নয়মী তন্মী ডঙ্গুয়ান তাউহিদুল|k_1 æ ʲ a ŋ_2 n_1 ɔ ʲ m i_2 t̪_1 o n m i_2 d_1 o ŋ g u ʷ a n_2 t̪_1 a u̯ h i d̪ u l_2
02f9ac4e-a32c-46aa-a59e-98bcbb137dc3|শাঁইজি এখনো বেঁচে আছেন।|ʃ_1 ã i̯ ɟ i_2 æ_1 kʰ o n o_2 b_1 ẽ c e_2 a_1 cʰ e n_2
02fbc19d-c184-4165-a57f-4c8c48a90416|কাম্য গম্য দম্য|k_1 a m m o_2 g_1 o m m o_2 d̪_1 o m m o_2
02ffc35d-1ded-44d2-bcde-59b61c253094|ইবতেদায়ির হলো প্রাইমারি শিক্ষা।|i_1 b t̪ e d̪ a ʲ i r_2 h_1 o l o_2 p_1 r a i̯ m a r i_2 ʃ_1 i k kʰ a_2
